lemma,freq
of,23159162
do,8186412
they,4503650
she,3188078
about,2427703
there,1980173
him,1717209
could,1529795
no,1206112
man,1091176
very,963552
work,854095
call,768117
in,726591
as,662376
help,606887
every,567233
yes,537066
its,511922
off,479459
case,458383
money,437583
today,431562
hold,413837
anything,384508
home,370758
percent,357515
kid,351451
long,345005
service,332313
however,326015
watch,318772
kill,307305
often,295709
news,289175
able,279559
five,270274
buy,260201
door,252623
consider,244644
everyone,241313
process,235304
build,230071
college,224634
heart,216345
air,210307
wrong,206856
security,201542
action,198530
event,194748
model,191448
couple,189272
role,184483
finally,181233
return,176787
road,173413
science,170488
matter,167351
paper,165070
media,162177
look,160145
director,158028
fight,154643
throw,152388
oil,150410
whose,147491
forget,145557
condition,143732
series,140231
bank,138673
blood,137579
response,135942
earth,134202
simple,132004
common,130294
hot,128310
performance,127318
example,125442
agency,123524
serious,122251
identify,120690
worry,119256
treatment,116893
answer,115956
tv,114859
degree,113046
present,111731
design,111026
district,109941
fan,107631
clearly,105965
indicate,105304
particularly,104018
union,102805
employee,101818
hate,100757
camera,99855
nobody,99029
design,97967
public,97031
green,95937
debate,95244
trade,94509
deep,93753
particular,92775
study,92101
popular,91435
maintain,90737
therefore,89981
far,89074
expert,88134
march,87215
okay,86529
down,85515
unit,84518
senate,83931
score,82738
worth,82178
participant,81371
surface,80819
chair,80186
content,79496
run,78645
soldier,78276
future,77663
agreement,76793
league,76178
attend,75448
strike,74378
crisis,73691
encourage,73251
understanding,72651
path,72335
complete,71752
definitely,70982
thousand,70404
jump,69861
possibility,69316
basis,68758
survey,68301
commit,67792
stupid,67597
responsible,67329
learning,66879
variety,66555
currently,66051
intelligence,65687
start,65218
distance,64404
favorite,63804
speed,63502
facility,63117
institute,62451
measure,61601
view,61111
ticket,60721
shape,60252
lead,59773
temperature,59493
wave,59169
bus,58707
egg,58198
average,57985
african,57497
medicine,56814
ah,56374
cash,55856
suit,55200
consequence,54883
reference,54390
tour,54157
train,53865
confirm,53256
supreme,52933
expand,52529
terrible,52179
last,51774
mayor,51481
fucking,51076
secret,50730
solve,50437
beer,50024
theme,49821
useful,49468
chairman,49123
limit,48738
copy,48365
sleep,48020
ocean,47773
organize,47499
cloud,47140
regarding,46854
yours,46632
stress,46396
suppose,46217
commitment,45809
capacity,45515
jury,45342
surgery,45042
pleasure,44800
knock,44485
rare,44243
leaf,43674
long-term,43471
comment,43256
lock,43093
forth,42832
trail,42439
motion,42232
proper,41810
contact,41609
thick,41420
signal,41085
mean,40927
typical,40785
rating,40458
suspect,40173
existing,39974
potential,39779
asset,39563
breathe,39322
literally,39094
disaster,38801
silence,38552
angel,38155
date,37929
whole,37840
fat,37455
whenever,37287
benefit,37025
touch,36766
column,36526
unable,36300
symptom,36021
philosophy,35824
spiritual,35599
round,35407
watch,35203
layer,34911
vice,34652
passenger,34335
emphasize,34190
habit,33933
surely,33758
interview,33551
match,33368
reduction,33167
teaspoon,33027
employment,32957
abandon,32838
trade,32679
black,32406
leading,32280
festival,32159
strongly,31943
doubt,31736
submit,31515
origin,31342
innocent,31192
strike,31051
light,30928
bend,30768
peak,30595
dust,30376
juice,30156
mess,29961
graduate,29793
carbon,29639
toss,29527
navy,29450
desert,29353
pack,29197
clock,29112
